signal,mean_ic,median_ic,sd_ic,hit_rate,t_stat,p_value
FIP,-0.011707202161565103,-0.012755381387504726,0.13013543097765698,0.484375,-1.0178002377951367,0.31070792037603406
Vol-Scaled,-0.011800161723664705,-0.02283765087543533,0.13219257955902178,0.4566929133858268,-1.0059647029950483,0.3163605193062068
12M-1M,-0.013147531215209967,-0.014486492982125683,0.13608508471234446,0.4453125,-1.0930465742414706,0.2764423611561067
6M-1M,-0.01451561221490993,-0.00866421120365159,0.14262868353104474,0.4609375,-1.1514192041746496,0.251722895899423
